id	em[keV]	xm[cm]	ym[cm]	zm[cm]	xdm[cm]	ydm[cm]	zdm[cm]
46	1.393526000e+03	9.454141156e+04	1.783665393e+05	3.310000000e+06	8.564000000e-02	1.615700000e-01	-9.831400000e-01
47	4.098250000e+02	5.499400000e-01	-4.081100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
48	8.040587000e+03	7.410000000e-01	3.508700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
49	3.330988000e+03	-6.660800000e-01	-2.133000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
50	5.592616000e+03	-3.024400000e-01	7.025700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
51	3.287620000e+02	5.280100000e-01	3.658900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
52	3.705842000e+03	2.546600000e-01	7.196400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
53	1.428750000e+02	-5.647771591e+06	-3.087804674e+06	3.310000000e+06	-2.035100000e-01	-2.553000000e-02	-9.787400000e-01
54	2.784644000e+03	-6.790800000e-01	4.961600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
55	3.345500000e+03	-8.628000000e-02	-4.094400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
56	1.069995000e+03	2.692800000e-01	1.176100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
57	1.479646000e+03	-3.156300000e-01	9.266300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
58	9.950556000e+03	1.915300000e-01	-7.347000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
59	5.856327000e+03	4.478900000e-01	8.760400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
60	6.337828000e+03	1.816100000e-01	-3.208100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
61	1.164919000e+03	-3.240099920e+04	-9.519781174e+04	3.310000000e+06	-2.184100000e-01	-6.417200000e-01	-7.351800000e-01
62	2.045898000e+03	-1.868600000e-01	2.177800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
65	3.414703000e+03	-8.672400000e-01	4.414400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
66	8.458541000e+03	3.010000000e-01	8.677800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
67	9.984143000e+03	-2.572200000e-01	-1.640000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
68	2.821276000e+03	8.636500000e-01	3.756100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
69	8.360418000e+03	1.343200000e-01	3.774000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
70	7.779872000e+03	-6.508100000e-01	2.455000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
71	7.787429000e+03	3.836000000e-01	-8.120600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
72	4.249630000e+02	4.175100000e-01	-5.200300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
73	1.799223000e+03	-7.477900000e-01	6.147700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
74	6.113045000e+03	-8.457700000e-01	-4.940000000e-03	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
75	1.615608000e+03	3.312400000e-01	2.857300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
77	4.473163000e+03	-5.441000000e-01	-5.490000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
78	3.032406000e+03	1.891300000e-01	-1.039400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
79	2.234300000e+02	3.407471637e+05	-7.479245527e+04	3.310000000e+06	5.689100000e-01	3.147900000e-01	-7.597700000e-01
80	2.025877000e+03	1.319600000e-01	7.020200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
81	6.253879000e+03	3.514100000e-01	3.131600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
82	1.469370000e+03	-8.879800000e-01	3.481000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
83	3.567281000e+03	-3.429900000e-01	-1.746800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
84	4.295674000e+03	1.036100000e-01	5.535000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
85	7.124110000e+02	-9.836760408e+05	5.219060079e+05	3.310000000e+06	-7.996000000e-01	4.242400000e-01	-4.250500000e-01
86	8.026829000e+03	7.735400000e-01	4.645200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
87	7.829191000e+03	5.630100000e-01	-6.938700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
88	6.216516000e+03	8.345000000e-02	6.301400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
89	6.022400000e+03	2.048000000e-01	-1.772100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
90	2.131459000e+03	3.897300000e-01	7.464200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
92	9.699251000e+03	-2.285600000e-01	3.921300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
93	3.577266000e+03	-2.927900000e-01	7.252000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
94	3.622689000e+03	5.004000000e-01	-5.237300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
96	1.109443000e+03	3.935529766e+05	-4.039296460e+05	3.310000000e+06	4.698500000e-01	-4.822400000e-01	-7.393800000e-01
97	2.562423000e+03	8.120400000e-01	-2.095700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
98	1.509145000e+03	-9.694000000e-02	2.038900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
99	8.427379000e+03	1.577500000e-01	5.148000000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
100	5.820666000e+03	-4.782800000e-01	-4.728200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
101	2.402443000e+03	6.276800000e-01	1.389500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
102	2.557838000e+03	-2.705900000e-01	-8.358700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
103	9.586583000e+03	-2.606800000e-01	-3.146400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
104	7.662670000e+03	4.935400000e-01	-4.285300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
105	8.624360000e+02	-8.984000000e-02	2.841500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
106	8.390653000e+03	-1.299590703e+04	3.127075561e+04	3.310000000e+06	-4.429000000e-02	1.065600000e-01	-9.933200000e-01
107	1.768406000e+03	-4.351800000e-01	-1.247700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
108	4.882760000e+02	3.478900000e-01	-4.939700000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
109	5.548870000e+02	3.527000000e-01	-2.270300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
110	9.843671000e+03	-6.402400000e-01	6.394600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
111	1.800700000e+02	-2.320296061e+06	1.789447509e+06	3.310000000e+06	3.056300000e-01	-5.546000000e-01	-7.739600000e-01
112	5.558204000e+03	6.633100000e-01	-7.182800000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
113	8.972989000e+03	-8.622000000e-02	-3.521400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
114	8.205284000e+03	3.993600000e-01	4.919100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
115	3.259314000e+03	-8.545400000e-01	-3.722500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
116	3.337911000e+03	-2.256300000e-01	4.440100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
117	9.654458000e+03	6.652500000e-01	4.316400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
118	8.148570000e+03	1.271100000e-01	1.906000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
119	7.762538000e+03	6.753900000e-01	1.543500000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
120	5.605491000e+03	4.627700000e-01	9.355000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
121	5.996219000e+03	3.158800000e-01	4.873400000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
122	9.652501000e+03	7.109500000e-01	4.835600000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
123	5.782600000e+02	5.124100000e-01	5.408000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
125	1.605866000e+03	-8.373815566e+04	-3.047964464e+05	3.310000000e+06	-1.731100000e-01	-6.301100000e-01	-7.569600000e-01
126	1.519080000e+02	-5.459287074e+05	1.422762129e+04	3.310000000e+06	3.097400000e-01	1.543300000e-01	-9.382100000e-01
127	5.942490000e+03	3.251500000e-01	2.044100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
128	5.388290000e+03	-9.664200000e-01	-4.979000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
129	1.424516000e+03	-1.313068233e+06	-9.337216472e+05	3.310000000e+06	-3.930300000e-01	-2.794800000e-01	-8.760200000e-01
130	3.091460000e+03	8.871400000e-01	3.911000000e-02	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
131	4.081026000e+03	4.976227893e+04	-4.417431100e+04	3.310000000e+06	2.145500000e-01	-1.904600000e-01	-9.579600000e-01
132	9.316029000e+03	4.650300000e-01	-6.425900000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
133	1.721060000e+02	-1.985913060e+07	-1.199293160e+07	3.310000000e+06	4.303500000e-01	6.947600000e-01	-5.762900000e-01
134	9.165498000e+03	-4.861800000e-01	-2.843200000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
135	3.918572000e+03	5.681700000e-01	-4.328100000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
137	4.767291000e+03	9.757000000e-02	2.895300000e-01	3.310000000e+06	0.000000000e+00	0.000000000e+00	-1.000000000e+00
