altitude[km]	mass_density[kg/m3]	N2[m-3]	O2[m-3]	O[m-3]	He[m-3]	H[m-3]	Ar[m-3]	N[m-3]	anomalous_oxygen[m-3]	NO[m-3]	Temperature[k]
1.169000e+02	2.068511e-08	3.411741e+17	6.102394e+16	5.495230e+16	3.249445e+13	6.988575e+12	1.686788e+15	2.573704e+11	0.000000e+00	1.998226e+13	3.455946e+02
1.170000e+02	2.039503e-08	3.363739e+17	6.004500e+16	5.447217e+16	3.229858e+13	6.924688e+12	1.656383e+15	2.599086e+11	0.000000e+00	1.984094e+13	3.473026e+02
1.171000e+02	2.011079e-08	3.316701e+17	5.908687e+16	5.399969e+16	3.210557e+13	6.861798e+12	1.626673e+15	2.624795e+11	0.000000e+00	1.970085e+13	3.490062e+02
1.172000e+02	1.983209e-08	3.270577e+17	5.814884e+16	5.353409e+16	3.191531e+13	6.799819e+12	1.597633e+15	2.650810e+11	0.000000e+00	1.956205e+13	3.507052e+02
1.173000e+02	1.955891e-08	3.225362e+17	5.723064e+16	5.307569e+16	3.172790e+13	6.738764e+12	1.569260e+15	2.677167e+11	0.000000e+00	1.942444e+13	3.523995e+02
1.174000e+02	1.929113e-08	3.181037e+17	5.633185e+16	5.262399e+16	3.154320e+13	6.678598e+12	1.541519e+15	2.703836e+11	0.000000e+00	1.928821e+13	3.540887e+02
1.175000e+02	1.902860e-08	3.137582e+17	5.545159e+16	5.217927e+16	3.136128e+13	6.619355e+12	1.514407e+15	2.730852e+11	0.000000e+00	1.915315e+13	3.557726e+02
1.176000e+02	1.877110e-08	3.094955e+17	5.458963e+16	5.174085e+16	3.118170e+13	6.560972e+12	1.487895e+15	2.758189e+11	0.000000e+00	1.901944e+13	3.574511e+02
1.177000e+02	1.851865e-08	3.053162e+17	5.374554e+16	5.130922e+16	3.100449e+13	6.503460e+12	1.461985e+15	2.785872e+11	0.000000e+00	1.888702e+13	3.591241e+02
1.178000e+02	1.827105e-08	3.012170e+17	5.291867e+16	5.088384e+16	3.082955e+13	6.446788e+12	1.436640e+15	2.813905e+11	0.000000e+00	1.875585e+13	3.607916e+02
1.179000e+02	1.802829e-08	2.971978e+17	5.210910e+16	5.046467e+16	3.065704e+13	6.390963e+12	1.411864e+15	2.842279e+11	0.000000e+00	1.862608e+13	3.624530e+02
1.180000e+02	1.779008e-08	2.932533e+17	5.131599e+16	5.005180e+16	3.048677e+13	6.335955e+12	1.387630e+15	2.870998e+11	0.000000e+00	1.849753e+13	3.641084e+02
1.181000e+02	1.755642e-08	2.893842e+17	5.053878e+16	4.964492e+16	3.031870e+13	6.281765e+12	1.363921e+15	2.900083e+11	0.000000e+00	1.837032e+13	3.657577e+02
1.182000e+02	1.732724e-08	2.855889e+17	4.977770e+16	4.924397e+16	3.015292e+13	6.228370e+12	1.340740e+15	2.929518e+11	0.000000e+00	1.824441e+13	3.674005e+02
1.183000e+02	1.710236e-08	2.818647e+17	4.903178e+16	4.884884e+16	2.998929e+13	6.175742e+12	1.318052e+15	2.959311e+11	0.000000e+00	1.811987e+13	3.690367e+02
1.184000e+02	1.688175e-08	2.782112e+17	4.830070e+16	4.845962e+16	2.982779e+13	6.123895e+12	1.295866e+15	2.989474e+11	0.000000e+00	1.799663e+13	3.706664e+02
1.185000e+02	1.666518e-08	2.746239e+17	4.758450e+16	4.807569e+16	2.966850e+13	6.072794e+12	1.274150e+15	3.019996e+11	0.000000e+00	1.787461e+13	3.722892e+02
1.186000e+02	1.645276e-08	2.711055e+17	4.688249e+16	4.769752e+16	2.951130e+13	6.022462e+12	1.252903e+15	3.050898e+11	0.000000e+00	1.775409e+13	3.739049e+02
1.187000e+02	1.624429e-08	2.676524e+17	4.619434e+16	4.732500e+16	2.935620e+13	5.972863e+12	1.232108e+15	3.082192e+11	0.000000e+00	1.763479e+13	3.755135e+02
1.188000e+02	1.603958e-08	2.642612e+17	4.551987e+16	4.695750e+16	2.920305e+13	5.923971e+12	1.211759e+15	3.113838e+11	0.000000e+00	1.751685e+13	3.771151e+02
1.189000e+02	1.583872e-08	2.609338e+17	4.485867e+16	4.659514e+16	2.905202e+13	5.875792e+12	1.191841e+15	3.145887e+11	0.000000e+00	1.740030e+13	3.787091e+02
1.190000e+02	1.564148e-08	2.576658e+17	4.421043e+16	4.623821e+16	2.890298e+13	5.828314e+12	1.172340e+15	3.178306e+11	0.000000e+00	1.728496e+13	3.802955e+02
1.191000e+02	1.544798e-08	2.544600e+17	4.357501e+16	4.588643e+16	2.875589e+13	5.781545e+12	1.153253e+15	3.211150e+11	0.000000e+00	1.717100e+13	3.818742e+02
1.192000e+02	1.525787e-08	2.513102e+17	4.295164e+16	4.553938e+16	2.861078e+13	5.735432e+12	1.134559e+15	3.244361e+11	0.000000e+00	1.705841e+13	3.834452e+02
1.193000e+02	1.507125e-08	2.482179e+17	4.234037e+16	4.519748e+16	2.846761e+13	5.689983e+12	1.116264e+15	3.277987e+11	0.000000e+00	1.694721e+13	3.850085e+02
1.194000e+02	1.488794e-08	2.451805e+17	4.174080e+16	4.486000e+16	2.832622e+13	5.645183e+12	1.098343e+15	3.312015e+11	0.000000e+00	1.683722e+13	3.865635e+02
1.195000e+02	1.470798e-08	2.421983e+17	4.115297e+16	4.452737e+16	2.818685e+13	5.601028e+12	1.080791e+15	3.346439e+11	0.000000e+00	1.672870e+13	3.881105e+02
1.196000e+02	1.453121e-08	2.392687e+17	4.057633e+16	4.419937e+16	2.804927e+13	5.557511e+12	1.063596e+15	3.381281e+11	0.000000e+00	1.662142e+13	3.896491e+02
1.197000e+02	1.435759e-08	2.363913e+17	4.001060e+16	4.387605e+16	2.791348e+13	5.514627e+12	1.046761e+15	3.416547e+11	0.000000e+00	1.651552e+13	3.911796e+02
1.198000e+02	1.418702e-08	2.335643e+17	3.945557e+16	4.355705e+16	2.777948e+13	5.472329e+12	1.030265e+15	3.452215e+11	0.000000e+00	1.641089e+13	3.927015e+02
1.199000e+02	1.401952e-08	2.307882e+17	3.891084e+16	4.324259e+16	2.764729e+13	5.430647e+12	1.014109e+15	3.488323e+11	0.000000e+00	1.630777e+13	3.942151e+02
1.200000e+02	1.385491e-08	2.280596e+17	3.837650e+16	4.293247e+16	2.751680e+13	5.389572e+12	9.982732e+14	3.524857e+11	0.000000e+00	1.620576e+13	3.957199e+02
1.201000e+02	1.369320e-08	2.253792e+17	3.785219e+16	4.262628e+16	2.738807e+13	5.349062e+12	9.827579e+14	3.561815e+11	0.000000e+00	1.610530e+13	3.972161e+02
1.202000e+02	1.353425e-08	2.227444e+17	3.733738e+16	4.232447e+16	2.726103e+13	5.309133e+12	9.675486e+14	3.599208e+11	0.000000e+00	1.600614e+13	3.987034e+02
1.203000e+02	1.337810e-08	2.201557e+17	3.683230e+16	4.202692e+16	2.713566e+13	5.269748e+12	9.526484e+14	3.637055e+11	0.000000e+00	1.590823e+13	4.001820e+02
1.204000e+02	1.322454e-08	2.176100e+17	3.633619e+16	4.173298e+16	2.701189e+13	5.230945e+12	9.380368e+14	3.675327e+11	0.000000e+00	1.581170e+13	4.016516e+02
1.205000e+02	1.307374e-08	2.151096e+17	3.584981e+16	4.144336e+16	2.688984e+13	5.192681e+12	9.237208e+14	3.714063e+11	0.000000e+00	1.571648e+13	4.031123e+02
1.206000e+02	1.292544e-08	2.126510e+17	3.537174e+16	4.115735e+16	2.676935e+13	5.154929e+12	9.096831e+14	3.753240e+11	0.000000e+00	1.562266e+13	4.045640e+02
